variant,load_balance_weight,intervention,support,anchor_intervention,anchor_support,control_support,anchor_router_support_count,control_router_support_count,support_count_difference,anchor_fixed_support_loss,control_fixed_support_loss,fixed_support_loss_difference,control_match_rank,control_match_status,control_candidate_count,control_exact_support_count_candidate_count,control_near_support_count_candidate_count,control_min_support_count_abs_difference_available,position_bin,token_class,router_support_count,empty_loss,router_loss,singleton_left_loss,singleton_right_loss,pair_loss,singleton_left_gain,singleton_right_gain,pair_gain,pair_synergy,fixed_support_loss,fixed_support_loss_delta,fixed_support_logit_mse,fixed_support_residual_stream_l2_delta,pair_value_cosine
baseline,0.0,fixed_dominant_router_support,"2,9",,,,,,,,,,,,,,,,all,all,18,4.163630962371826,2.9124011993408203,4.201282978057861,4.239740371704102,4.074950695037842,-0.037652015686035156,-0.07610940933227539,0.08868026733398438,0.20244169235229492,4.074950695037842,1.1625494956970215,0.2610822021961212,5.162138938903809,0.08847033977508545
baseline,0.0,fixed_dominant_router_support,"2,9",,,,,,,,,,,,,,,,even,all,18,4.12342643737793,2.854438543319702,4.174108982086182,4.224936008453369,4.064541816711426,-0.05068254470825195,-0.10150957107543945,0.058884620666503906,0.2110767364501953,4.064541816711426,1.2101032733917236,,,0.08847033977508545
baseline,0.0,fixed_dominant_router_support,"2,9",,,,,,,,,,,,,,,,odd,all,18,4.205132484436035,2.972234010696411,4.229333400726318,4.255021572113037,4.085696220397949,-0.024200916290283203,-0.04988908767700195,0.11943626403808594,0.1935262680053711,4.085696220397949,1.113462209701538,,,0.08847033977508545
baseline,0.0,fixed_dominant_router_support,"2,9",,,,,,,,,,,,,,,,all,common_target,18,4.114662170410156,2.732042074203491,4.10820198059082,4.093319416046143,3.919414758682251,0.0064601898193359375,0.021342754364013672,0.19524741172790527,0.16744446754455566,3.919414758682251,1.1873726844787598,,,0.08847033977508545
baseline,0.0,fixed_dominant_router_support,"2,9",,,,,,,,,,,,,,,,all,rare_target,18,4.234468460083008,3.173309326171875,4.335933685302734,4.451552391052246,4.299950122833252,-0.10146522521972656,-0.21708393096923828,-0.06548166275024414,0.2530674934387207,4.299950122833252,1.126640796661377,,,0.08847033977508545
baseline,0.0,fixed_dominant_router_support,"2,10",,,,,,,,,,,,,,,,all,all,16,4.163630962371826,2.9124011993408203,4.201282978057861,4.278792858123779,4.140637397766113,-0.037652015686035156,-0.11516189575195312,0.02299356460571289,0.17580747604370117,4.140637397766113,1.228236198425293,0.27152615785598755,5.30388069152832,0.006695270538330078
baseline,0.0,fixed_dominant_router_support,"2,10",,,,,,,,,,,,,,,,even,all,16,4.12342643737793,2.854438543319702,4.174108982086182,4.288423538208008,4.139125347137451,-0.05068254470825195,-0.16499710083007812,-0.015698909759521484,0.1999807357788086,4.139125347137451,1.284686803817749,,,0.006695270538330078
baseline,0.0,fixed_dominant_router_support,"2,10",,,,,,,,,,,,,,,,odd,all,16,4.205132484436035,2.972234010696411,4.229333400726318,4.2688517570495605,4.14219856262207,-0.024200916290283203,-0.06371927261352539,0.06293392181396484,0.15085411071777344,4.14219856262207,1.1699645519256592,,,0.006695270538330078
baseline,0.0,fixed_dominant_router_support,"2,10",,,,,,,,,,,,,,,,all,common_target,16,4.114662170410156,2.732042074203491,4.10820198059082,4.234254837036133,4.0281243324279785,0.0064601898193359375,-0.11959266662597656,0.08653783798217773,0.19967031478881836,4.0281243324279785,1.2960822582244873,,,0.006695270538330078
baseline,0.0,fixed_dominant_router_support,"2,10",,,,,,,,,,,,,,,,all,rare_target,16,4.234468460083008,3.173309326171875,4.335933685302734,4.343222141265869,4.303399085998535,-0.10146522521972656,-0.10875368118286133,-0.06893062591552734,0.14128828048706055,4.303399085998535,1.1300897598266602,,,0.006695270538330078
baseline,0.0,fixed_dominant_router_support,"2,6",,,,,,,,,,,,,,,,all,all,16,4.163630962371826,2.9124011993408203,4.201282978057861,4.148983001708984,3.984490394592285,-0.037652015686035156,0.014647960662841797,0.17914056777954102,0.20214462280273438,3.984490394592285,1.0720891952514648,0.23577170073986053,4.823510646820068,0.0390121266245842
baseline,0.0,fixed_dominant_router_support,"2,6",,,,,,,,,,,,,,,,even,all,16,4.12342643737793,2.854438543319702,4.174108982086182,4.0991716384887695,3.937594175338745,-0.05068254470825195,0.024254798889160156,0.18583226203918457,0.21226000785827637,3.937594175338745,1.083155632019043,,,0.0390121266245842
baseline,0.0,fixed_dominant_router_support,"2,6",,,,,,,,,,,,,,,,odd,all,16,4.205132484436035,2.972234010696411,4.229333400726318,4.20040225982666,4.032898426055908,-0.024200916290283203,0.004730224609375,0.17223405838012695,0.19170475006103516,4.032898426055908,1.060664415359497,,,0.0390121266245842
baseline,0.0,fixed_dominant_router_support,"2,6",,,,,,,,,,,,,,,,all,common_target,16,4.114662170410156,2.732042074203491,4.10820198059082,3.9705147743225098,3.7848052978515625,0.0064601898193359375,0.14414739608764648,0.32985687255859375,0.17924928665161133,3.7848052978515625,1.0527632236480713,,,0.0390121266245842
baseline,0.0,fixed_dominant_router_support,"2,6",,,,,,,,,,,,,,,,all,rare_target,16,4.234468460083008,3.173309326171875,4.335933685302734,4.407156467437744,4.273353576660156,-0.10146522521972656,-0.17268800735473633,-0.03888511657714844,0.23526811599731445,4.273353576660156,1.1000442504882812,,,0.0390121266245842
