batch_index,position_index,token_index,target_token,matched_context_stratum_count,position_bins,token_classes,residual_norm_bins,residual_gain_bins,support_count_bins,topk2_row_count,topk1_row_count,topk2_router_loss_mean,topk1_router_loss_mean,topk2_pair_gain_mean,topk1_singleton_gain_mean,topk2_incremental_pair_gain_minus_topk1_singleton,topk2_fixed_delta_minus_topk1,topk2_logit_mse_minus_topk1,topk2_residual_stream_l2_delta_minus_topk1,topk2_pair_synergy_mean
0,0,0,43,3,even,rare_target,low,high,"high,low,mid",5,5,2.5468125343322754,2.9634454250335693,0.18930292129516602,0.16482522752549914,0.02447769376966689,0.39215519693162704,-0.07719776199923621,-0.025245878431532216,0.09778870476616754
0,1,1,30,1,odd,rare_target,low,high,high,1,1,3.140129327774048,2.3836729526519775,0.28681182861328125,0.012711048126220703,0.27410078048706055,-1.0305571556091309,-0.023293137550354004,-0.8092117309570312,0.3603191375732422
0,10,10,51,1,even,rare_target,mid,low,low,2,1,3.592907428741455,2.9659996032714844,-0.3054237365722656,-0.3887500762939453,0.08332633972167969,-0.7102341651916504,-0.10939781367778778,-0.9625885486602783,0.07525944709777832
0,11,11,15,1,odd,common_target,low,mid,low,2,2,3.352428913116455,2.7337820529937744,-0.15410065650939941,-0.1831529140472412,0.029052257537841797,-0.6476991176605225,-0.046694815158843994,-1.1313450336456299,-0.0004705190658569336
0,12,12,14,1,even,common_target,low,high,high,1,1,3.0541982650756836,3.095944404602051,0.21484875679016113,0.21244263648986816,0.0024061203002929688,0.03934001922607422,-0.04227858781814575,-0.5759754180908203,0.08924221992492676
0,13,13,18,2,odd,common_target,low,"low,mid",low,3,3,2.8115694522857666,3.159383773803711,-0.2093815803527832,-0.31313323974609375,0.10375165939331055,0.2440626621246338,0.06144963204860687,-0.2681845426559448,0.4024205207824707
0,14,14,39,2,even,rare_target,"low,mid",high,low,3,2,4.526627063751221,3.9079270362854004,0.07633817195892334,0.650618314743042,-0.5742801427841187,-0.04441988468170166,0.07986333966255188,2.492880940437317,0.1954207420349121
0,15,15,55,2,odd,rare_target,low,low,"low,mid",3,2,3.2006616592407227,3.870335578918457,-0.36708521842956543,-0.4392380714416504,0.07215285301208496,0.5975210666656494,-0.02691417559981346,-0.5287905931472778,0.23604810237884521
0,16,16,52,1,even,common_target,low,low,low,2,2,1.613807201385498,2.0960278511047363,-0.3865325450897217,-0.7497496604919434,0.3632171154022217,0.1190035343170166,-0.08952109515666962,-0.7213053703308105,0.12731897830963135
0,17,17,21,2,odd,common_target,low,"high,mid",low,2,4,4.343860626220703,3.23555588722229,0.04549360275268555,0.385725200176239,-0.34023159742355347,-0.7680731415748596,0.020705536007881165,0.8523051738739014,0.33354687690734863
0,18,18,38,1,even,rare_target,low,high,low,1,1,3.2328078746795654,2.067903518676758,0.8043394088745117,0.4843916893005371,0.3199477195739746,-1.4848520755767822,-0.05829288065433502,-1.0340394973754883,-0.11774539947509766
0,2,2,34,1,even,rare_target,low,low,low,3,1,2.5581448078155518,1.7013516426086426,-0.4830901622772217,-0.5322630405426025,0.04917287826538086,-0.90596604347229,-0.01944346229235333,-0.5373465220133467,0.024213870366414387
0,20,20,19,1,even,rare_target,low,mid,high,1,1,3.0823097229003906,3.6700735092163086,-0.11638593673706055,-0.02317523956298828,-0.09321069717407227,0.6809744834899902,0.10964281857013702,0.411041259765625,0.04258584976196289
0,21,21,45,1,odd,common_target,mid,high,low,3,1,1.8307112455368042,1.4400237798690796,0.22644686698913574,0.6497337818145752,-0.42328691482543945,0.032599449157714844,0.023499016960461916,0.08488925298054983,0.24503461519877115
0,22,22,26,1,even,rare_target,low,low,low,4,2,3.4651060104370117,3.695807695388794,-0.38155603408813477,-0.3576655387878418,-0.02389049530029297,0.2545921802520752,-0.037396736443042755,-0.78947913646698,0.2944439649581909
0,24,24,23,2,even,common_target,low,"low,mid","low,mid",3,2,2.432732105255127,2.495577096939087,-0.11172854900360107,-0.3972938060760498,0.28556525707244873,-0.22272026538848877,-0.07712984830141068,-0.8277010917663574,0.20928674936294556
0,25,25,7,1,odd,common_target,low,low,low,2,2,1.0042378902435303,0.922408938407898,-0.3144659996032715,-0.5459508895874023,0.23148488998413086,-0.3133138418197632,-0.04720878601074219,-0.8522672653198242,0.30468881130218506
0,26,26,33,3,even,rare_target,low,"low,mid","low,mid",4,3,2.689394474029541,2.5196995735168457,-0.18553908665974936,-0.3801441192626953,0.19460503260294595,-0.3642999331156413,-0.0424808015426,-0.7034617265065511,0.11259543895721436
0,27,27,10,1,odd,common_target,low,high,low,1,1,3.653411865234375,2.704392910003662,0.12304162979125977,0.09867715835571289,0.024364471435546875,-0.9733834266662598,0.007540285587310791,-0.8043041229248047,0.15585851669311523
0,29,29,32,2,odd,rare_target,"low,mid",mid,"low,mid",3,2,2.5651752948760986,2.522399663925171,-0.011844456195831299,-0.12755656242370605,0.11571210622787476,-0.1584877371788025,0.08788665384054184,-0.15085124969482422,0.07795757055282593
0,3,3,53,3,odd,rare_target,low,"high,mid","low,mid",3,3,2.570561408996582,2.905999183654785,0.014923731486002604,-0.02786143620808919,0.0427851676940918,0.29265260696411133,-0.04674294590950012,-0.7484253247578939,0.35973215103149414
0,30,30,11,1,even,common_target,low,mid,high,1,1,2.0467522144317627,3.105038642883301,0.005118370056152344,-0.09719467163085938,0.10231304168701172,0.9559733867645264,0.0008821189403533936,-0.312711238861084,0.6011919975280762
0,32,32,25,1,even,common_target,mid,mid,low,1,1,3.1542389392852783,2.4979352951049805,-0.02744007110595703,-0.2999739646911621,0.2725338935852051,-0.9288375377655029,-0.02866905927658081,0.06360435485839844,0.11626052856445312
0,34,34,54,1,even,rare_target,low,low,low,4,3,1.5686075687408447,2.7057976722717285,-0.3892861604690552,-0.6414699554443359,0.25218379497528076,0.885006308555603,0.05318780243396759,-0.8077026605606079,0.06289273500442505
0,35,35,28,1,odd,common_target,low,low,low,2,1,2.0029776096343994,1.9396847486495972,-0.3968336582183838,-0.3269357681274414,-0.06989789009094238,0.006605029106140137,-0.04777282476425171,-0.9863607883453369,0.1795961856842041
