position_bin,token_class,topk2_row_count,topk1_row_count,topk2_router_loss_mean,topk1_router_loss_mean,topk2_router_loss_minus_topk1,topk2_fixed_support_loss_delta_mean,topk1_fixed_support_loss_delta_mean,topk2_fixed_delta_minus_topk1,topk2_pair_gain_mean,topk1_singleton_gain_mean,topk2_pair_gain_minus_topk1_singleton,topk2_pair_synergy_mean,topk2_pair_synergy_positive_fraction,topk2_pair_value_cosine_mean,topk1_singleton_value_norm_mean
all,all,8,8,2.9124014377593994,2.8664543628692627,0.04594707489013672,1.1817698776721954,1.367455244064331,-0.18568536639213562,0.06945964694023132,-0.07027864456176758,0.1397382915019989,0.1894841492176056,1.0,-0.03193487972021103,4.655477821826935
all,common_target,8,8,2.732042074203491,2.8033037185668945,-0.07126164436340332,1.2246069610118866,1.353785753250122,-0.12917879223823547,0.15801313519477844,-0.04242730140686035,0.2004404366016388,0.20160850882530212,1.0,-0.03193487972021103,4.655477821826935
all,rare_target,8,8,3.173309326171875,2.957808017730713,0.2155013084411621,1.119801938533783,1.3872299194335938,-0.2674279808998108,-0.058642804622650146,-0.11056947708129883,0.05192667245864868,0.17194592952728271,1.0,-0.03193487972021103,4.655477821826935
even,all,8,8,2.854438543319702,2.8186163902282715,0.035822153091430664,1.2058006525039673,1.3697136640548706,-0.16391301155090332,0.06318724155426025,-0.0649036169052124,0.12809085845947266,0.18713825941085815,1.0,-0.03193487972021103,4.655477821826935
odd,all,8,8,2.972234010696411,2.9158356189727783,0.05639839172363281,1.1569638848304749,1.3651241660118103,-0.20816028118133545,0.07593458890914917,-0.07582730054855347,0.15176188945770264,0.19190603494644165,1.0,-0.03193487972021103,4.655477821826935
