split,positions,router_loss,oracle_loss,intervention_loss,intervention_minus_router_loss,intervention_oracle_regret,oracle_gap_recovery_fraction
all,252,2.868107318878174,2.8655788898468018,2.8655788898468018,-0.0025284290313720703,0.0,1.0
train_even_sequences,126,2.884150981903076,2.8816161155700684,2.8816161155700684,-0.0025348663330078125,0.0,1.0
holdout_odd_sequences,126,2.8520634174346924,2.8495421409606934,2.8495421409606934,-0.0025212764739990234,0.0,1.0
