split,positions,router_loss,oracle_loss,intervention_loss,intervention_minus_router_loss,intervention_oracle_regret,oracle_gap_recovery_fraction
all,252,2.868107318878174,2.8655788898468018,2.8655788898468018,-0.0025284290313720703,0.0,1.0
train_even_positions,126,2.8612236976623535,2.8586935997009277,2.8586935997009277,-0.0025300979614257812,0.0,1.0
holdout_odd_positions,126,2.874990701675415,2.872464179992676,2.872464179992676,-0.002526521682739258,0.0,1.0
