split,positions,router_loss,oracle_loss,intervention_loss,intervention_minus_router_loss,intervention_oracle_regret,oracle_gap_recovery_fraction
all,252,2.868107318878174,2.8655788898468018,3.879375696182251,1.0112683773040771,1.0137968063354492,-399.9591702027346
train_even_sequences,126,2.884150981903076,2.8816161155700684,3.8209381103515625,0.9367871284484863,0.9393219947814941,-369.56075996990216
holdout_odd_sequences,126,2.8520634174346924,2.8495419025421143,3.937812566757202,1.0857491493225098,1.088270664215088,-430.59398638426626
