split,positions,oracle_target_accuracy,router_loss,oracle_loss,selector_loss,selector_minus_router_loss,selector_oracle_regret,oracle_gap_recovery_fraction
all,252,0.9841269850730896,2.868107318878174,2.8655788898468018,2.8655788898468018,-0.0025284290313720703,0.0,1.0
train_even_positions,126,1.0,2.8612239360809326,2.858693838119507,2.858693838119507,-0.0025300979614257812,0.0,1.0
holdout_odd_positions,126,0.9682539701461792,2.874990701675415,2.872464179992676,2.872464179992676,-0.002526521682739258,0.0,1.0
