support_key,support_size,loss,gain_from_empty,delta_from_router,pairwise_synergy
0,1,4.150691986083984,0.012938976287841797,1.2825849056243896,
1,1,4.237013339996338,-0.07338237762451172,1.3689062595367432,
2,1,4.216414928436279,-0.052783966064453125,1.3483078479766846,
3,1,4.256021499633789,-0.09239053726196289,1.3879144191741943,
4,1,4.2477521896362305,-0.0841212272644043,1.3796451091766357,
5,1,4.251292705535889,-0.0876617431640625,1.383185625076294,
6,1,4.262914657592773,-0.09928369522094727,1.3948075771331787,
7,1,4.26365852355957,-0.10002756118774414,1.3955514430999756,
8,1,4.2918291091918945,-0.12819814682006836,1.4237220287322998,
9,1,4.165953159332275,-0.0023221969604492188,1.2978460788726807,
10,1,4.253169536590576,-0.08953857421875,1.3850624561309814,
11,1,4.219427108764648,-0.055796146392822266,1.3513200283050537,
12,1,4.167842388153076,-0.00421142578125,1.2997353076934814,
13,1,4.262619495391846,-0.09898853302001953,1.394512414932251,
14,1,4.218820095062256,-0.05518913269042969,1.3507130146026611,
15,1,4.242220878601074,-0.07858991622924805,1.3741137981414795,
16,1,4.267338275909424,-0.10370731353759766,1.399231195449829,
17,1,4.16762113571167,-0.00399017333984375,1.2995140552520752,
18,1,4.265121936798096,-0.10149097442626953,1.397014856338501,
19,1,4.242435455322266,-0.07880449295043945,1.374328374862671,
20,1,4.163630962371826,0.0,1.2955238819122314,
21,1,4.296624183654785,-0.13299322128295898,1.4285171031951904,
22,1,4.282054901123047,-0.1184239387512207,1.4139478206634521,
23,1,4.340602397918701,-0.176971435546875,1.4724953174591064,
"0,1",2,4.065186500549316,0.09844446182250977,1.1970794200897217,0.1588878631591797
"0,2",2,4.051761150360107,0.11186981201171875,1.1836540699005127,0.15171480178833008
"0,3",2,3.999166965484619,0.16446399688720703,1.1310598850250244,0.24391555786132812
"0,4",2,4.0452680587768555,0.1183629035949707,1.1771609783172607,0.1895451545715332
"0,5",2,4.051774501800537,0.11185646057128906,1.1836674213409424,0.18657922744750977
"0,6",2,4.046188831329346,0.11744213104248047,1.178081750869751,0.20378684997558594
"0,7",2,4.030844688415527,0.13278627395629883,1.1627376079559326,0.21987485885620117
"0,8",2,4.03862190246582,0.12500905990600586,1.1705148220062256,0.24026823043823242
