support_key,loss,gain_from_empty,delta_from_router,pairwise_synergy
"8,19",4.1134419441223145,0.05018901824951172,1.2453348636627197,0.25719165802001953
"8,18",4.141891002655029,0.021739959716796875,1.2737839221954346,0.25142908096313477
"8,23",4.222674369812012,-0.05904340744018555,1.354567289352417,0.2461261749267578
"0,3",3.999166965484619,0.16446399688720703,1.1310598850250244,0.24391555786132812
"3,13",4.111887454986572,0.051743507385253906,1.2437803745269775,0.24312257766723633
"0,8",4.03862190246582,0.12500905990600586,1.1705148220062256,0.24026823043823242
"3,8",4.144838809967041,0.018792152404785156,1.2767317295074463,0.2393808364868164
"8,16",4.157413005828857,0.00621795654296875,1.2893059253692627,0.23812341690063477
"6,23",4.203293323516846,-0.03966236114501953,1.335186243057251,0.23659276962280273
"3,19",4.098540782928467,0.06509017944335938,1.230433702468872,0.23628520965576172
"8,21",4.188647747039795,-0.02501678466796875,1.3205406665802002,0.2361745834350586
"7,19",4.1090803146362305,0.0545506477355957,1.2409732341766357,0.2333827018737793
"14,18",4.0878825187683105,0.07574844360351562,1.2197754383087158,0.23242855072021484
"8,22",4.179908275604248,-0.016277313232421875,1.3118011951446533,0.2303447723388672
"7,8",4.16235876083374,0.0012722015380859375,1.2942516803741455,0.22949790954589844
"3,22",4.1470627784729,0.01656818389892578,1.2789556980133057,0.22738265991210938
"6,8",4.1647419929504395,-0.0011110305786132812,1.2966349124908447,0.22637081146240234
"3,23",4.206699371337891,-0.04306840896606445,1.338592290878296,0.22629356384277344
"0,16",4.02833366394043,0.13529729843139648,1.160226583480835,0.22606563568115234
"7,18",4.13978910446167,0.02384185791015625,1.2716820240020752,0.22536039352416992
"8,14",4.123456001281738,0.04017496109008789,1.2553489208221436,0.22356224060058594
"3,18",4.13442850112915,0.02920246124267578,1.2663214206695557,0.2230839729309082
"0,23",4.104726791381836,0.058904170989990234,1.2366197109222412,0.22293663024902344
"0,22",4.046586513519287,0.11704444885253906,1.1784794330596924,0.22252941131591797
"0,19",4.007771015167236,0.15585994720458984,1.1396639347076416,0.2217254638671875
"3,6",4.133780479431152,0.029850482940673828,1.2656733989715576,0.22152471542358398
"0,7",4.030808925628662,0.13282203674316406,1.1627018451690674,0.2199106216430664
"1,23",4.195024013519287,-0.03139305114746094,1.3269169330596924,0.21896076202392578
"15,23",4.200256824493408,-0.03662586212158203,1.3321497440338135,0.21893548965454102
"11,19",4.07946252822876,0.0841684341430664,1.211355447769165,0.21876907348632812
"4,23",4.20644998550415,-0.04281902313232422,1.3383429050445557,0.21827363967895508
"19,22",4.143603324890137,0.020027637481689453,1.275496244430542,0.2172560691833496
"0,21",4.069128513336182,0.09450244903564453,1.201021432876587,0.21455669403076172
"4,8",4.161561965942383,0.0020689964294433594,1.293454885482788,0.21438837051391602
"19,21",4.16195011138916,0.0016808509826660156,1.2938430309295654,0.21347856521606445
"8,13",4.178469181060791,-0.014838218688964844,1.3103621006011963,0.21234846115112305
"7,23",4.228293418884277,-0.06466245651245117,1.3601863384246826,0.21233654022216797
"3,21",4.179294586181641,-0.015663623809814453,1.311187505722046,0.20972013473510742
"5,8",4.170076370239258,-0.006445407867431641,1.301969289779663,0.20941448211669922
"8,15",4.161971092224121,0.0016598701477050781,1.2938640117645264,0.20844793319702148
"16,22",4.178406238555908,-0.014775276184082031,1.3102991580963135,0.20735597610473633
"8,20",4.085452079772949,0.07817888259887695,1.2173449993133545,0.2063770294189453
"19,23",4.213101387023926,-0.04947042465209961,1.344994306564331,0.20630550384521484
"4,19",4.120832443237305,0.042798519134521484,1.25272536277771,0.20572423934936523
"22,23",4.253676891326904,-0.09004592895507812,1.3855698108673096,0.20534944534301758
"4,16",4.146496772766113,0.01713418960571289,1.2783896923065186,0.20496273040771484
"0,6",4.046193599700928,0.11743736267089844,1.178086519241333,0.2037820816040039
"18,19",4.140977382659912,0.022653579711914062,1.2728703022003174,0.20294904708862305
"16,18",4.166214942932129,-0.0025839805603027344,1.2981078624725342,0.20261430740356445
"16,23",4.241862773895264,-0.0782318115234375,1.373755693435669,0.20244693756103516
"13,19",4.139139652252197,0.024491310119628906,1.2710325717926025,0.2022843360900879
"2,8",4.142457962036133,0.02117300033569336,1.274350881576538,0.20215511322021484
"16,21",4.198605060577393,-0.034974098205566406,1.3304979801177979,0.20172643661499023
"13,23",4.23807954788208,-0.0744485855102539,1.3699724674224854,0.20151138305664062
"18,23",4.241516590118408,-0.07788562774658203,1.3734095096588135,0.2005767822265625
"8,11",4.147189617156982,0.01644134521484375,1.2790825366973877,0.20043563842773438
"10,19",4.1316094398498535,0.032021522521972656,1.2635023593902588,0.2003645896911621
"10,21",4.186351776123047,-0.022720813751220703,1.3182446956634521,0.19981098175048828
"13,16",4.169671058654785,-0.006040096282958984,1.3015639781951904,0.1966557502746582
"6,22",4.184864044189453,-0.021233081817626953,1.3167569637298584,0.19647455215454102
"21,22",4.219496250152588,-0.05586528778076172,1.3513891696929932,0.19555187225341797
"0,18",4.056706428527832,0.10692453384399414,1.1885993480682373,0.19547653198242188
"15,18",4.149150371551514,0.0144805908203125,1.281043291091919,0.19456148147583008
"21,23",4.279358863830566,-0.11572790145874023,1.4112517833709717,0.19423675537109375
"6,16",4.172657012939453,-0.009026050567626953,1.3045499324798584,0.19396495819091797
"7,22",4.188161373138428,-0.024530410766601562,1.320054292678833,0.19392108917236328
"14,19",4.103763103485107,0.05986785888671875,1.2356560230255127,0.1938614845275879
"18,22",4.1899943351745605,-0.026363372802734375,1.3218872547149658,0.19355154037475586
"18,21",4.2046637535095215,-0.04103279113769531,1.3365566730499268,0.1934514045715332
"1,8",4.172935485839844,-0.009304523468017578,1.304828405380249,0.1922760009765625
"6,18",4.172210693359375,-0.008579730987548828,1.3041036128997803,0.19219493865966797
"3,16",4.1679463386535645,-0.004315376281738281,1.2998392581939697,0.19178247451782227
"11,23",4.205017566680908,-0.04138660430908203,1.3369104862213135,0.19138097763061523
"11,18",4.129835605621338,0.03379535675048828,1.2617285251617432,0.19108247756958008
"13,21",4.2056450843811035,-0.042014122009277344,1.3375380039215088,0.18996763229370117
