component,present,selector,training_objective,train_split,holdout_split,holdout_router_loss,holdout_oracle_loss,holdout_intervention_loss,holdout_intervention_minus_router_loss,holdout_intervention_oracle_regret,holdout_oracle_gap_recovery_fraction,all_oracle_gap_recovery_fraction
learned_contextual_support_head,True,mlp_contextual_support_head_ce_minimizer,expected_fixed_batch_support_ce,even flattened token positions,odd flattened token positions,2.874990701675415,2.872464179992676,2.874512195587158,-0.00047850608825683594,0.002048015594482422,0.1893932244974993,0.1868929750117869
same_student_oracle_support_forcing,True,mlp_contextual_hidden_to_oracle_pair,,train even positions,holdout odd positions,2.874990701675415,2.872464179992676,2.872464179992676,-0.002526521682739258,0.0,1.0,1.0
learned_sequence_support_head,True,mlp_contextual_support_head_ce_minimizer,expected_fixed_batch_support_ce,even full sequences,odd full sequences,2.8520634174346924,2.8495419025421143,2.868842363357544,0.016778945922851562,0.019300460815429688,-6.654311649016641,-5.47986798679868
