control,present,source,heldout_delta_vs_base_ce,gap_vs_reference_heldout_ce_delta,holdout_intervention_minus_router_loss,holdout_oracle_gap_recovery_fraction,interpretation
token_position_support_null,True,results/audits/token_larger_support_wide_promoted_default_exhaustive_support/token_position_support_head.csv,-0.03207588195800781,0.2847728729248047,1.227036714553833,-485.6624516372558,"token/position-only support-head null when source artifact exists, otherwise upstream ACSR token/position support null"
shuffled_causal_feature_support_head_null,True,results/audits/token_larger_support_wide_promoted_default_exhaustive_support/shuffled_causal_feature_support_head.csv,,,1.3953816890716553,-552.2935736529206,required learned support-head null with deterministically shuffled feature rows
same_student_fixed_support_forcing,True,results/audits/token_larger_support_wide_promoted_default_exhaustive_support/router_support_intervention.csv,,,,,forces support choices through the same trained student values
