variant,load_balance_weight,alpha0_ce_loss,alpha0_ce_delta_from_baseline,best_hep_alpha,best_hep_loss,used_columns,used_column_delta_from_baseline,dead_columns,unique_support_sets,max_column_fraction,load_entropy,normalized_load_entropy,effective_num_columns,residual_delta_l2_mean,mean_support_margin,support_change_fraction_from_baseline,logit_mse_delta_from_baseline,residual_stream_l2_delta_from_baseline,fixed_random_support_ce_loss,dense_uniform_support_ce_loss,oracle_support_loss,oracle_support_regret,oracle_support_regret_positive_fraction,router_oracle_gap,best_global_fixed_support_loss,best_global_fixed_support,router_minus_best_global_fixed_support_loss,mean_active_pairwise_column_value_cosine,max_active_pairwise_column_value_cosine,objective_loss,load_balance_loss,residual_parameter_delta
baseline,0.0,2.8984460830688477,0.0,0.0,2.8984460830688477,23,0,1,56,0.111328125,2.934903417218545,0.9234907820605481,16.390146304864324,4.445412635803223,2.1822521686553955,0.0,0.0,0.0,4.222525119781494,4.221386909484863,2.8891942501068115,0.009251447394490242,0.075396828353405,0.009251832962036133,4.072439193725586,"18,22",-1.1739931106567383,-0.02945380636232973,0.6850236058235168,2.9221251010894775,0.40309953689575195,7642.77202796936
load_balance_0.01125,0.01125,2.953988790512085,0.055542707443237305,0.0,2.953988790512085,24,1,0,42,0.28515625,2.7349607634376643,0.8605772304172173,9.033218470020675,4.0607829093933105,1.7166330814361572,0.98828125,0.1529780775308609,4.444724082946777,4.227893352508545,4.220707416534424,2.94313907623291,0.01084993313997984,0.6547619104385376,0.010849714279174805,4.034571647644043,"4,13",-1.080582857131958,-0.025181765406159684,0.5677546858787537,2.9785830974578857,0.44818130135536194,6958.318412780762
load_balance_0.0125,0.0125,2.899409294128418,0.0009632110595703125,0.0,2.899409294128418,24,1,0,50,0.18359375,2.9207922561445567,0.9190505926152852,14.019895175954648,4.091736793518066,1.4727932214736938,0.95703125,0.15531346201896667,4.460580348968506,4.237977504730225,4.220510005950928,2.8994057178497314,3.202567086191266e-06,0.6269841194152832,3.5762786865234375e-06,4.030253887176514,"4,13",-1.1308445930480957,-0.02137614134867824,0.585113525390625,2.9250402450561523,0.41422706842422485,6978.522031784058
load_balance_0.01375,0.01375,2.917938470840454,0.019492387771606445,0.0,2.917938470840454,24,1,0,60,0.14453125,3.002856509975522,0.9448727649923907,16.578800910700732,4.120828151702881,1.0740076303482056,0.9765625,0.15634548664093018,4.479039192199707,4.24332332611084,4.219481945037842,2.917750358581543,0.00018830904446076602,0.5952380895614624,0.0001881122589111328,4.031849384307861,"3,4",-1.1139109134674072,-0.022419262363932237,0.3996392786502838,2.9435081481933594,0.4452555775642395,6916.944498062134
load_balance_0.015,0.015,2.9279637336730957,0.029517650604248047,0.0,2.9279637336730957,24,1,0,42,0.189453125,2.857232437015174,0.8990509882906398,12.466425718090166,4.105752468109131,1.1419661045074463,0.97265625,0.15697257220745087,4.491978645324707,4.215451240539551,4.219509124755859,2.9279589653015137,5.1804004215227906e-06,0.6230158805847168,4.76837158203125e-06,4.025660991668701,"3,4",-1.0976972579956055,-0.014136461221916261,0.4619523286819458,2.9531314373016357,0.49915260076522827,6800.854701042175
load_balance_0.02,0.02,2.896939516067505,-0.0015065670013427734,0.0,2.896939516067505,24,1,0,48,0.19140625,2.9249648746518337,0.9203635403279488,13.82324404134149,4.002678871154785,1.6984785795211792,0.9921875,0.15098176896572113,4.375441551208496,4.236458778381348,4.219194412231445,2.8962349891662598,0.0007046725950203836,0.7857142686843872,0.0007045269012451172,4.036044597625732,"0,4",-1.1391050815582275,-0.022696820316027235,0.3970261812210083,2.923992395401001,0.3094862103462219,7041.501151561737
