causal_feature_safe,control,empty_loss,fold,heldout_sequence_index,oracle_loss,oracle_regret_positive_fraction,positions,router_loss,router_minus_empty_loss,router_oracle_gap,support_router,top_k,unique_support_sets,used_columns,uses_future_context,variant
False,promoted_contextual_topk2,4.173296928405762,0,0,2.9311513900756836,1.0,63,2.936467409133911,-1.2368295192718506,0.005316019058227539,contextual_mlp,2,50,19,True,actual_full_context
True,promoted_contextual_topk2,4.173296928405762,0,0,2.9311513900756836,1.0,63,3.0499022006988525,-1.1233947277069092,0.11875081062316895,contextual_mlp,2,55,20,False,causal_current_past_position
True,promoted_contextual_topk2,4.173296928405762,0,0,2.9311513900756836,1.0,63,3.132305383682251,-1.0409915447235107,0.20115399360656738,contextual_mlp,2,51,20,False,current_hidden_only
True,promoted_contextual_topk2,4.173296928405762,0,0,2.9311513900756836,1.0,63,4.207584381103516,0.034287452697753906,1.276432991027832,contextual_mlp,2,14,9,False,position_only
True,promoted_contextual_topk2,4.173296928405762,0,0,2.9311513900756836,1.0,63,3.085275411605835,-1.0880215167999268,0.15412402153015137,contextual_mlp,2,52,19,False,past_context_only
True,linear_topk2_control,4.173296928405762,0,0,3.533681869506836,1.0,63,3.5532665252685547,-0.620030403137207,0.01958465576171875,linear,2,27,11,False,linear_actual
True,causal_contextual_topk2,4.173296928405762,0,0,2.9185149669647217,1.0,63,2.9844350814819336,-1.1888618469238281,0.06592011451721191,contextual_mlp_causal,2,54,23,False,actual_causal_context
True,causal_contextual_topk2,4.173296928405762,0,0,2.9185149669647217,1.0,63,2.9844350814819336,-1.1888618469238281,0.06592011451721191,contextual_mlp_causal,2,54,23,False,causal_current_past_position
True,causal_contextual_topk2,4.173296928405762,0,0,2.9185149669647217,1.0,63,2.9844350814819336,-1.1888618469238281,0.06592011451721191,contextual_mlp_causal,2,54,23,False,current_past_no_position
True,causal_contextual_topk2,4.173296928405762,0,0,2.9185149669647217,1.0,63,3.0883700847625732,-1.0849268436431885,0.16985511779785156,contextual_mlp_causal,2,44,22,False,current_hidden_only
True,causal_contextual_topk2,4.173296928405762,0,0,2.9185149669647217,1.0,63,4.186515808105469,0.013218879699707031,1.268000841140747,contextual_mlp_causal,2,13,7,False,position_only
True,causal_contextual_topk2,4.173296928405762,0,0,2.9185149669647217,1.0,63,3.0468921661376953,-1.1264047622680664,0.12837719917297363,contextual_mlp_causal,2,51,22,False,past_context_only
False,contextual_topk1_control,4.173296928405762,0,0,2.976104974746704,1.0,63,3.1058831214904785,-1.0674138069152832,0.12977814674377441,contextual_mlp,1,20,20,True,actual_full_context
True,contextual_topk1_control,4.173296928405762,0,0,2.976104974746704,1.0,63,4.011575222015381,-0.16172170639038086,1.0354702472686768,contextual_mlp,1,18,18,False,causal_current_past_position
True,contextual_topk1_control,4.173296928405762,0,0,2.976104974746704,1.0,63,4.178559303283691,0.0052623748779296875,1.2024543285369873,contextual_mlp,1,18,18,False,current_hidden_only
True,contextual_topk1_control,4.173296928405762,0,0,2.976104974746704,1.0,63,4.249110698699951,0.07581377029418945,1.273005723953247,contextual_mlp,1,5,5,False,position_only
True,contextual_topk1_control,4.173296928405762,0,0,2.976104974746704,1.0,63,4.054156303405762,-0.119140625,1.0780513286590576,contextual_mlp,1,20,20,False,past_context_only
True,causal_contextual_topk1_control,4.173296928405762,0,0,3.0514423847198486,1.0,63,3.1836819648742676,-0.9896149635314941,0.13223958015441895,contextual_mlp_causal,1,22,22,False,actual_causal_context
True,causal_contextual_topk1_control,4.173296928405762,0,0,3.0514423847198486,1.0,63,3.1836819648742676,-0.9896149635314941,0.13223958015441895,contextual_mlp_causal,1,22,22,False,causal_current_past_position
True,causal_contextual_topk1_control,4.173296928405762,0,0,3.0514423847198486,1.0,63,3.1612839698791504,-1.0120129585266113,0.10984158515930176,contextual_mlp_causal,1,22,22,False,current_past_no_position
True,causal_contextual_topk1_control,4.173296928405762,0,0,3.0514423847198486,1.0,63,4.0344319343566895,-0.13886499404907227,0.9829895496368408,contextual_mlp_causal,1,17,17,False,current_hidden_only
True,causal_contextual_topk1_control,4.173296928405762,0,0,3.0514423847198486,1.0,63,4.304852485656738,0.13155555725097656,1.2534101009368896,contextual_mlp_causal,1,9,9,False,position_only
True,causal_contextual_topk1_control,4.173296928405762,0,0,3.0514423847198486,1.0,63,3.734006643295288,-0.43929028511047363,0.6825642585754395,contextual_mlp_causal,1,20,20,False,past_context_only
False,promoted_contextual_topk2,4.12671422958374,1,1,2.8369357585906982,1.0,63,2.843106985092163,-1.2836072444915771,0.006171226501464844,contextual_mlp,2,50,21,True,actual_full_context
