variant,baseline_variant,transfer_update_group,commutator_anchor_logit_mse,baseline_commutator_anchor_logit_mse,commutator_anchor_fraction_of_full,commutator_transfer_logit_mse,transfer_ce_improvement,baseline_transfer_ce_improvement,transfer_retention_fraction,anchor_ce_drift,anchor_support_churn_after_transfer,commutator_anchor_support_churn,anchor_used_columns_after_transfer
router_only_transfer_topk2,promoted_contextual_topk2,router_only,0.04974525794386864,0.21909268200397491,0.22705120722820915,0.0507337860763073,0.0005395412445068359,0.8878865242004395,0.0006076691444244006,4.76837158203125e-07,0.8125,0.921875,23.0
value_only_transfer_topk2,promoted_contextual_topk2,value_only,0.27519628405570984,0.21909268200397491,1.2560724600135986,0.26748305559158325,0.9600329399108887,0.8878865242004395,1.081256347229077,-0.9339891672134399,0.0,0.984375,23.0
