variant,kind,top_k,num_columns,stored_parameters,active_parameters_proxy,anchor_ce_before_transfer,anchor_ce_after_transfer,anchor_ce_drift,anchor_logit_mse_drift,anchor_mean_abs_logit_drift,anchor_residual_stream_l2_drift,anchor_residual_norm_before_transfer,anchor_residual_norm_after_transfer,anchor_support_churn_after_transfer,anchor_used_columns_before_transfer,anchor_used_columns_after_transfer,anchor_unique_support_sets_before_transfer,anchor_unique_support_sets_after_transfer,transfer_ce_before_transfer,transfer_ce_after_transfer,transfer_ce_improvement,commutator_anchor_ce_abs_delta,commutator_transfer_ce_abs_delta,commutator_anchor_logit_mse,commutator_transfer_logit_mse,commutator_anchor_residual_stream_l2,commutator_transfer_residual_stream_l2,commutator_anchor_support_churn,commutator_transfer_support_churn,parameter_delta_after_anchor,parameter_delta_during_transfer,freeze_router_during_transfer,gradient_clip_norm,anchor_update_group,transfer_update_group
promoted_contextual_topk2,sparse,2,24,77606,768,2.8547303676605225,1.9760266542434692,-0.8787037134170532,0.16755011677742004,0.2618699371814728,4.669929504394531,4.432602882385254,8.664920806884766,0.96875,20,20,44,48,2.848416328430176,1.9605298042297363,0.8878865242004395,0.016293644905090332,0.011842131614685059,0.21909268200397491,0.22273965179920197,4.320603847503662,4.317261219024658,0.94140625,0.9453125,12172.166263580322,7451.858005523682,False,,full,full
rank_matched_contextual_topk1,sparse,1,48,92294,384,2.8824024200439453,1.9953694343566895,-0.8870329856872559,0.13784439861774445,0.24675352871418,4.496304988861084,4.685309886932373,8.79472541809082,0.00390625,33,33,33,33,2.9106802940368652,1.9887434244155884,0.9219368696212769,0.022684454917907715,0.0193711519241333,0.009826509281992912,0.010023655369877815,1.4544962644577026,1.4703704118728638,0.0,0.0,10709.34560050629,5568.508571283892,False,,full,full
random_fixed_topk2,sparse_fixed,2,24,77606,768,3.4033308029174805,3.5044398307800293,0.10110902786254883,0.14907275140285492,0.2843334376811981,4.330484390258789,4.430663108825684,6.148594856262207,0.0,24,24,157,157,4.078498363494873,3.4050323963165283,0.6734659671783447,0.01955270767211914,0.12709546089172363,0.3593711853027344,0.3489163815975189,6.858278274536133,6.717662811279297,0.0,0.0,10054.122756004333,7183.612791061401,False,,full,full
norm_matched_dense_active_rank,dense,0,,1536,1536,3.2468838691711426,2.7295665740966797,-0.5173172950744629,0.07161279022693634,0.21515609323978424,3.0426337718963623,4.432602882385254,7.190127849578857,,,,,,3.243962526321411,2.7205617427825928,0.5234007835388184,0.02380967140197754,0.024816036224365234,0.05515189841389656,0.05489417538046837,2.922454833984375,2.9178812503814697,,,570.9605407714844,148.92826461791992,False,,full,full
router_only_transfer_topk2,sparse,2,24,77606,768,2.7775521278381348,2.777552604675293,4.76837158203125e-07,0.0010297949193045497,0.001242429600097239,0.023121748119592667,4.4481682777404785,4.4397687911987305,0.8125,23,23,45,46,2.785618543624878,2.785079002380371,0.0005395412445068359,0.043383121490478516,0.014497756958007812,0.04974525794386864,0.0507337860763073,2.2113544940948486,2.229522228240967,0.921875,0.93359375,8817.678652763367,3703.0378823280334,False,,full,router_only
value_only_transfer_topk2,sparse,2,24,77606,768,2.8174328804016113,1.8834437131881714,-0.9339891672134399,0.14443400502204895,0.2505885064601898,4.44183349609375,4.354106426239014,8.612828254699707,0.0,23,23,49,49,2.7925217151641846,1.832488775253296,0.9600329399108887,0.1433546543121338,0.12902235984802246,0.27519628405570984,0.26748305559158325,5.335512638092041,5.296996593475342,0.984375,0.984375,11731.458711624146,4003.609375,False,,full,value_only
