experiment_id,config_path,run_dir,residual_objective,pinned_support,support_stress,hep_update_clip_norm,hep_settling_objective,step,phase,base_loss,residual_loss,loss_delta_from_initial,hep_alpha,hep_loss,max_hep_logit_delta_from_ordinary,hep_support_change_fraction,hep_pinned_vs_repicked_logit_delta,status
char_extended_hep_support_stress_clipped,configs/char_extended_hep_support_stress_clipped.yaml,results/comparisons/colab_extended_support_stress_temporal_vs_entropy_guided_clipped_hep/runs/char_extended_hep_support_stress_clipped,supervised_ce,False,True,0.01,residual_adapter,19,residual_update,3.72165346,3.61556244,-0.10609102,,,,,,ok
char_extended_hep_support_stress_clipped,configs/char_extended_hep_support_stress_clipped.yaml,results/comparisons/colab_extended_support_stress_temporal_vs_entropy_guided_clipped_hep/runs/char_extended_hep_support_stress_clipped,supervised_ce,False,True,0.01,residual_adapter,20,residual_update,3.72165346,3.61089158,-0.11076188,,,,,,ok
char_extended_hep_support_stress_clipped,configs/char_extended_hep_support_stress_clipped.yaml,results/comparisons/colab_extended_support_stress_temporal_vs_entropy_guided_clipped_hep/runs/char_extended_hep_support_stress_clipped,supervised_ce,False,True,0.01,residual_adapter,21,residual_update,3.72165346,3.60631037,-0.11534309,,,,,,ok
char_extended_hep_support_stress_clipped,configs/char_extended_hep_support_stress_clipped.yaml,results/comparisons/colab_extended_support_stress_temporal_vs_entropy_guided_clipped_hep/runs/char_extended_hep_support_stress_clipped,supervised_ce,False,True,0.01,residual_adapter,22,residual_update,3.72165346,3.60181689,-0.11983657,,,,,,ok
char_extended_hep_support_stress_clipped,configs/char_extended_hep_support_stress_clipped.yaml,results/comparisons/colab_extended_support_stress_temporal_vs_entropy_guided_clipped_hep/runs/char_extended_hep_support_stress_clipped,supervised_ce,False,True,0.01,residual_adapter,23,residual_update,3.72165346,3.59741139,-0.12424207,,,,,,ok
char_extended_hep_support_stress_clipped,configs/char_extended_hep_support_stress_clipped.yaml,results/comparisons/colab_extended_support_stress_temporal_vs_entropy_guided_clipped_hep/runs/char_extended_hep_support_stress_clipped,supervised_ce,False,True,0.01,residual_adapter,24,residual_update,3.72165346,3.59309149,-0.12856197,,,,,,ok
char_extended_hep_support_stress_clipped,configs/char_extended_hep_support_stress_clipped.yaml,results/comparisons/colab_extended_support_stress_temporal_vs_entropy_guided_clipped_hep/runs/char_extended_hep_support_stress_clipped,supervised_ce,False,True,0.01,residual_adapter,25,residual_update,3.72165346,3.58885622,-0.13279724,,,,,,ok
char_extended_hep_support_stress_clipped,configs/char_extended_hep_support_stress_clipped.yaml,results/comparisons/colab_extended_support_stress_temporal_vs_entropy_guided_clipped_hep/runs/char_extended_hep_support_stress_clipped,supervised_ce,False,True,0.01,residual_adapter,26,residual_update,3.72165346,3.58470392,-0.13694954,,,,,,ok
char_extended_hep_support_stress_clipped,configs/char_extended_hep_support_stress_clipped.yaml,results/comparisons/colab_extended_support_stress_temporal_vs_entropy_guided_clipped_hep/runs/char_extended_hep_support_stress_clipped,supervised_ce,False,True,0.01,residual_adapter,27,residual_update,3.72165346,3.58063316,-0.14102030,,,,,,ok
char_extended_hep_support_stress_clipped,configs/char_extended_hep_support_stress_clipped.yaml,results/comparisons/colab_extended_support_stress_temporal_vs_entropy_guided_clipped_hep/runs/char_extended_hep_support_stress_clipped,supervised_ce,False,True,0.01,residual_adapter,28,residual_update,3.72165346,3.57664156,-0.14501190,,,,,,ok
