variant,load_balance_weight,alpha0_ce_loss,alpha0_ce_delta_from_baseline,best_hep_alpha,best_hep_loss,used_columns,used_column_delta_from_baseline,dead_columns,unique_support_sets,max_column_fraction,load_entropy,normalized_load_entropy,effective_num_columns,residual_delta_l2_mean,mean_support_margin,support_change_fraction_from_baseline,logit_mse_delta_from_baseline,residual_stream_l2_delta_from_baseline,fixed_random_support_ce_loss,dense_uniform_support_ce_loss,mean_active_pairwise_column_value_cosine,max_active_pairwise_column_value_cosine,objective_loss,load_balance_loss,residual_parameter_delta
baseline,0.0,2.912400960922241,0.0,0.0,2.912400960922241,19,0,5,41,0.28125,2.523192169717511,0.7939425523957415,8.326789911695572,4.434449672698975,3.1026997566223145,0.0,0.0,0.0,4.192426681518555,4.152108669281006,-0.03434277642130231,0.30477574467658997,2.9341773986816406,0.6683453917503357,7183.101945877075
load_balance_0.01125,0.01125,2.834712505340576,-0.07768845558166504,0.0,2.834712505340576,24,5,0,55,0.14453125,2.962422075434891,0.9321497474794357,15.50780880265026,4.101569652557373,1.3922040462493896,0.97265625,0.1639573723077774,4.480381488800049,4.163344383239746,4.156022548675537,-0.023773833192430226,0.3305110037326813,2.860579252243042,0.4858967661857605,7361.04861497879
load_balance_0.0125,0.0125,2.830270767211914,-0.08213019371032715,0.0,2.830270767211914,24,5,0,45,0.19140625,2.887798705299062,0.9086689085385613,13.147958671882837,4.103751182556152,1.7631422281265259,0.97265625,0.15446972846984863,4.304455280303955,4.164117336273193,4.155316352844238,-0.02421160018285804,0.5426778197288513,2.8560307025909424,0.46046191453933716,7325.0579471588135
load_balance_0.01375,0.01375,2.8494391441345215,-0.06296181678771973,0.0,2.8494391441345215,24,5,0,50,0.203125,2.9307315712027306,0.9221780774184881,13.56431749974128,4.086820602416992,1.5208594799041748,0.96484375,0.15811976790428162,4.396795272827148,4.159773349761963,4.153985500335693,-0.022880161218210193,0.7537924647331238,2.875462532043457,0.48986274003982544,7206.8702044487
load_balance_0.015,0.015,2.861461877822876,-0.050939083099365234,0.0,2.861461877822876,24,5,0,54,0.154296875,2.939861606093236,0.9250509157585189,14.68593837535014,4.073257923126221,1.0212783813476562,0.9609375,0.16046421229839325,4.44305944442749,4.144626140594482,4.153955936431885,-0.02473455111776011,0.41213876008987427,2.8863682746887207,0.4866271913051605,7116.077278614044
load_balance_0.02,0.02,2.8683066368103027,-0.04409432411193848,0.0,2.8683066368103027,24,5,0,56,0.107421875,3.0266143543993,0.9523483603384825,17.98463227222832,4.095231056213379,1.0451914072036743,0.96484375,0.1508255898952484,4.259998321533203,4.134332656860352,4.153652667999268,-0.024437626470740804,0.5422413349151611,2.894296169281006,0.4596128761768341,7086.44766330719
