column_a,column_b,cosine_similarity,value_distance,column_a_used,column_b_used,both_used,co_selected_count
0,1,-0.07439813017845154,6.596146583557129,True,True,True,0
0,2,0.07758666574954987,5.883299827575684,True,True,True,4
0,3,-0.06367146968841553,6.673267841339111,True,True,True,0
0,4,-0.057158078998327255,6.751597881317139,True,True,True,0
0,5,0.02173307165503502,6.215377330780029,True,True,True,0
0,6,-0.13897401094436646,6.887518405914307,True,True,True,4
0,7,-0.06715508550405502,6.560595512390137,True,True,True,5
0,8,-0.13957452774047852,7.061732292175293,True,True,True,0
0,9,-0.022977758198976517,4.770232200622559,True,False,False,0
0,10,0.08299735933542252,5.924671649932861,True,True,True,0
0,11,0.15627136826515198,5.903786659240723,True,True,True,0
0,12,-0.16117703914642334,4.816051006317139,True,False,False,0
0,13,0.003017784096300602,6.50955867767334,True,True,True,7
0,14,0.0925167128443718,6.107911109924316,True,True,True,2
0,15,0.08487044274806976,6.360046863555908,True,True,True,0
0,16,-0.15739016234874725,6.920039176940918,True,True,True,0
0,17,-0.009789402596652508,4.7731547355651855,True,False,False,0
0,18,0.0030935220420360565,6.704293727874756,True,True,True,6
0,19,-0.0473991297185421,6.659033298492432,True,True,True,0
0,20,0.0,4.736894130706787,True,False,False,0
0,21,-0.07009778916835785,6.757987976074219,True,True,True,0
0,22,-0.05659637600183487,6.491776943206787,True,True,True,2
0,23,0.06719405949115753,6.333791255950928,True,True,True,0
1,2,-0.051214639097452164,5.898008823394775,True,True,True,4
1,3,0.07843468338251114,5.879574775695801,True,True,True,0
1,4,-0.04723241552710533,6.370567798614502,True,True,True,4
1,5,-0.07365299016237259,6.140240669250488,True,True,True,0
1,6,-0.22206194698810577,6.751317024230957,True,True,True,8
1,7,0.041419610381126404,5.873219013214111,True,True,True,0
1,8,-0.04779225215315819,6.4245452880859375,True,True,True,8
1,9,-0.1073693186044693,4.326013088226318,True,False,False,0
1,10,-0.0710359439253807,6.021813869476318,True,True,True,0
1,11,-0.12817177176475525,6.453548431396484,True,True,True,13
1,12,-0.11190260946750641,4.313241481781006,True,False,False,0
1,13,0.03487991541624069,6.067143440246582,True,True,True,4
1,14,-0.12222204357385635,6.420036792755127,True,True,True,0
1,15,-0.017677148804068565,6.366991996765137,True,True,True,13
1,16,-0.09830135852098465,6.377330780029297,True,True,True,3
1,17,0.3340405821800232,4.102142810821533,True,False,False,0
1,18,0.01700458489358425,6.327338695526123,True,True,True,0
1,19,-0.19643646478652954,6.739949703216553,True,True,True,0
1,20,0.0,4.251405715942383,True,False,False,0
1,21,-0.03510956093668938,6.2977681159973145,True,True,True,0
1,22,-0.18523024022579193,6.490038871765137,True,True,True,2
1,23,-0.052746307104825974,6.37761116027832,True,True,True,0
2,3,-0.09587623178958893,6.142951488494873,True,True,True,6
2,4,-0.07267048209905624,6.186229228973389,True,True,True,10
2,5,0.011809173971414566,5.629293918609619,True,True,True,0
2,6,-0.057234130799770355,6.0163350105285645,True,True,True,0
2,7,-0.08827029913663864,5.98588752746582,True,True,True,6
2,8,-0.1735319197177887,6.523804664611816,True,True,True,0
2,9,-0.12184557318687439,3.9596428871154785,True,False,False,0
2,10,-0.06893898546695709,5.738943576812744,True,True,True,0
2,11,0.10566852241754532,5.505573272705078,True,True,True,0
2,12,0.12041617929935455,3.8485872745513916,True,False,False,0
2,13,-0.060613248497247696,6.098618984222412,True,True,True,0
