branch,source_decision,key_metric,key_value,disposition
causal_contextual_router_support_quality,causal_contextual_router_support_audit_blocks_promotion,causal_oracle_regret_delta_vs_linear,0.06303172116167843,blocks_default_promotion
same_student_teacher_support_intervention,same_student_token_position_null_discriminator_blocks_claim,teacher_minus_token_position_null_gain_all_tokens,0.0009184288127079832,blocks_functional_teacher_support_claim
distillation_discriminative_mechanism,real_teacher_distilled_causal_router_preferred_over_control_family,stratified_null_passes_reversal_gate,True,superseded_by_stratified_null
