variant,load_balance_weight,alpha0_ce_loss,alpha0_ce_delta_from_baseline,best_hep_alpha,best_hep_loss,used_columns,used_column_delta_from_baseline,dead_columns,unique_support_sets,max_column_fraction,objective_loss,load_balance_loss,residual_parameter_delta
baseline,0.0,2.9124014377593994,0.0,0.0,2.9124014377593994,19,0,5,41,0.28125,2.9341773986816406,0.6683453917503357,7183.1019468307495
load_balance_0.0025,0.0025,3.0304391384124756,0.11803770065307617,0.0,3.0304391384124756,24,5,0,47,0.119140625,3.0514490604400635,1.112300992012024,6692.617362499237
load_balance_0.005,0.005,2.9749927520751953,0.0625913143157959,0.0,2.9749927520751953,24,5,0,46,0.1953125,2.9971399307250977,1.0881990194320679,6894.43566942215
load_balance_0.0075,0.0075,2.9234910011291504,0.011089563369750977,0.0,2.9234910011291504,24,5,0,55,0.083984375,2.9474053382873535,0.7502065300941467,6942.351880073547
load_balance_0.01,0.01,2.929391384124756,0.016989946365356445,0.0,2.929391384124756,24,5,0,53,0.146484375,2.9527337551116943,0.5938940644264221,6803.952163696289
load_balance_0.0125,0.0125,2.830270767211914,-0.08213067054748535,0.0,2.830270767211914,24,5,0,45,0.19140625,2.8560307025909424,0.460464209318161,7325.0578956604
