variant,load_balance_weight,column,router_support_count,router_support_fraction,column_value_norm,mean_router_score,ablate_loss,ablate_loss_delta,ablate_logit_mse,ablate_residual_stream_l2_delta,force_loss,force_loss_delta,force_logit_mse,force_residual_stream_l2_delta
baseline,0.0,0,0,0.0,0.8153553605079651,-13.717170715332031,2.8984458446502686,0.0,0.0,0.0,4.211767196655273,1.3133213520050049,0.15890498459339142,4.478662014007568
baseline,0.0,1,28,0.0546875,4.455910682678223,-1.7733852863311768,2.966848850250244,0.06840300559997559,0.009047428146004677,0.2784944176673889,4.271292686462402,1.3728468418121338,0.29117950797080994,5.981198787689209
baseline,0.0,2,4,0.0078125,3.07784366607666,-11.278665542602539,2.922757148742676,0.024311304092407227,0.001434282399713993,0.04809129238128662,4.267908573150635,1.3694627285003662,0.24492467939853668,5.35113000869751
baseline,0.0,3,11,0.021484375,4.409565448760986,-5.9018659591674805,2.937384843826294,0.03893899917602539,0.0030035313684493303,0.06889946758747101,4.404228687286377,1.5057828426361084,0.3514130711555481,6.228765487670898
baseline,0.0,4,13,0.025390625,4.353295803070068,-4.021757125854492,2.9510562419891357,0.05261039733886719,0.007437858730554581,0.20406073331832886,4.346320152282715,1.4478743076324463,0.32301899790763855,6.124542713165283
baseline,0.0,5,12,0.0234375,4.66211462020874,-4.286829471588135,2.951869487762451,0.05342364311218262,0.0059306807816028595,0.2185366451740265,4.328183174133301,1.4297373294830322,0.2805587351322174,6.211092948913574
baseline,0.0,6,12,0.0234375,4.432009220123291,-5.610415458679199,2.93135929107666,0.0329134464263916,0.002725397003814578,0.06925014406442642,4.418269157409668,1.5198233127593994,0.3396344780921936,6.291311740875244
baseline,0.0,7,19,0.037109375,4.257911205291748,-5.339105129241943,2.946471929550171,0.048026084899902344,0.004722329322248697,0.13305974006652832,4.2971696853637695,1.398723840713501,0.3045298159122467,6.007014751434326
baseline,0.0,8,39,0.076171875,4.510791778564453,-1.2848893404006958,2.9642138481140137,0.06576800346374512,0.009607978165149689,0.2819191515445709,4.286930084228516,1.388484239578247,0.295253723859787,5.9704437255859375
baseline,0.0,9,20,0.0390625,4.327938556671143,-6.835864067077637,2.9634268283843994,0.06498098373413086,0.00931458082050085,0.270496129989624,4.339809894561768,1.441364049911499,0.3079659342765808,5.9463653564453125
baseline,0.0,10,33,0.064453125,4.0990891456604,-1.570002794265747,2.94523024559021,0.046784400939941406,0.004702283535152674,0.1280965507030487,4.359971046447754,1.4615252017974854,0.3127315044403076,5.975923538208008
baseline,0.0,11,46,0.08984375,4.352774620056152,-1.3382158279418945,2.9515540599823,0.05310821533203125,0.006558494176715612,0.20403632521629333,4.332040309906006,1.4335944652557373,0.2982602119445801,6.028125286102295
baseline,0.0,12,57,0.111328125,4.328756332397461,-1.1803369522094727,2.962454080581665,0.06400823593139648,0.009933335706591606,0.25363802909851074,4.366120338439941,1.4676744937896729,0.3258517384529114,6.009243488311768
baseline,0.0,13,32,0.0625,4.610272407531738,-1.9503517150878906,3.0008833408355713,0.10243749618530273,0.0135570103302598,0.4502218961715698,4.2924017906188965,1.393955945968628,0.28381627798080444,5.9063944816589355
baseline,0.0,14,19,0.037109375,4.436214447021484,-10.088631629943848,2.980478048324585,0.0820322036743164,0.0114407017827034,0.3292498290538788,4.296058177947998,1.3976123332977295,0.2931119501590729,5.896054267883301
baseline,0.0,15,25,0.048828125,4.409536361694336,-3.969794750213623,2.9509408473968506,0.05249500274658203,0.00697058392688632,0.1894722878932953,4.343513011932373,1.4450671672821045,0.3233664333820343,6.142948627471924
baseline,0.0,16,41,0.080078125,4.510581016540527,-1.7230886220932007,2.9766592979431152,0.07821345329284668,0.011275315657258034,0.3179608881473541,4.321963787078857,1.4235179424285889,0.3082350790500641,5.9927873611450195
