oracle_exact_agreement,positions,seed,student_exact_agreement,token_position_null_exact_agreement,unique_oracle_supports,unique_student_supports,unique_teacher_supports
0.06349206349206349,252,1,0.8849206349206349,0.6865079365079365,45,147,140
0.04365079365079365,252,2,0.8849206349206349,0.6984126984126984,39,149,151
0.04365079365079365,252,3,0.8650793650793651,0.7103174603174603,47,140,142
