support,row_count,columns,mean_pair_synergy,mean_abs_pair_synergy,abs_pair_synergy_share,mean_pair_gain,mean_singleton_left_gain,mean_singleton_right_gain,mean_fixed_support_loss_delta,mean_fixed_support_logit_mse,mean_fixed_support_residual_stream_l2_delta,mean_residual_norm,router_support_count,pair_value_cosine
"2,9",252,"2,9",0.20244076138450987,0.2947791947258843,0.14408163860036197,0.08867964290437244,-0.03765178767461625,-0.07610933080552117,1.1625497918280343,0.26151670172574026,5.16938797254411,4.107844548566001,18.0,0.08847035467624664
"2,5",252,"2,5",0.1873403380787562,0.2739369197497292,0.13389438934921916,0.052584042151769005,-0.03765178767461625,-0.09710450825237092,1.198645392580638,0.2699895047006153,5.423356941768101,4.068103443062495,12.0,-0.04598131775856018
"2,15",252,"2,15",0.20453707471726432,0.2570192123216296,0.12562538308550109,0.03610532151328193,-0.03765178767461625,-0.13077996552936613,1.2151241132191248,0.25641794757000985,5.200077950008332,3.9639001810361467,12.0,-0.1396656036376953
"2,22",252,"2,22",0.16404667827818128,0.2559381259812249,0.1250969716705136,0.05891487286204383,-0.03765178767461625,-0.0674800177415212,1.192314561870363,0.2615255617669652,5.2050681331227615,4.044452820505414,12.0,-0.08867885172367096
"2,10",252,"2,10",0.1758073984630524,0.2457972670358325,0.12014034108121448,0.022993426474313888,-0.03765178767461625,-0.11516218431412227,1.228236008258093,0.2715946509842835,5.295319140903533,4.096760408272819,16.0,0.006695277988910675
"6,15",252,"6,15",0.21964248116054233,0.24388158037548974,0.11920399523996979,0.10351012197751848,0.014647606346342299,-0.13077996552936613,1.1477193127548884,0.25401530651346155,4.972152652358419,4.336856644304972,13.0,-0.013637140393257141
"2,12",252,"2,12",0.15991346135972037,0.24181515356851002,0.11819397090404536,0.01374804689770653,-0.03765178767461625,-0.1085136267873976,1.2374813878347004,0.2682378024217628,5.306129769673423,4.109274987190489,11.0,-0.10169390588998795
"2,6",252,"2,6",0.2021451923582289,0.23275038552662683,0.11376331006917458,0.17914101102995494,-0.03765178767461625,0.014647606346342299,1.072088423702452,0.23702061862226517,4.834629543243893,4.13542392991838,16.0,0.039012134075164795
